태풍번호,태풍명,최저 기압(hpa),최대풍속(10분 평균 m/s)
202312,기러기(KIROGI),992,23
202311,하이쿠이(HAIKUI),955,40
202310,담레이(DAMREY),985,27
202309,사올라(SAOLA),920,53
202308,도라(DORA),975,32
202307,란(LAN),940,47
202306,카눈(KHANUN),930,50
202305,독수리(DOKSURI),930,50
202304,탈림(TALIM),970,32
202303,구촐(GUCHOL),960,39
202302,마와르(MAWAR),905,58
202301,상우(SANVU),996,20
202225,파카르(PAKHAR),996,20
202224,야마네코(YAMANEKO),1002,18
202223,바냔(BANYAN),1000,18
202222,날개(NALGAE),975,32
202221,하이탕(HAITANG),1002,18
202220,네삿(NESAT),960,39
202219,선까(SONCA),998,19
202218,로키(ROKE),975,32
202217,꿀랍(KULAP),970,35
202216,노루(NORU),935,49
202215,탈라스(TALAS),1000,18
202214,난마돌(NANMADOL),915,55
202213,므르복(MERBOK),965,37
202212,무이파(MUIFA),945,45
202211,힌남노(HINNAMNOR),915,55
202210,도카게(TOKAGE),965,37
202209,망온(MA-ON),975,32
202208,메아리(MEARI),996,20
202207,무란(MULAN),994,18
202206,트라세(TRASES),998,18
202205,송다(SONGDA),994,20
202204,에어리(AERE),994,20
202203,차바(CHABA),975,32
202202,메기(MEGI),998,19
202201,말라카스(MALAKAS),950,43
202122,라이(RAI),920,53
202121,냐토(NYATOH),935,49
202120,말로(MALOU),965,37
202119,남테운(NAMTHEUN),994,21
202118,곤파스(KOMPASU),980,29
202117,라이언록(LIONROCK),992,23
202116,민들레(MINDULLE),920,53
202115,뎬무(DIANMU),1000,18
202114,찬투(CHANTHU),915,55
202113,꼰선(CONSON),980,29
202112,오마이스(OMAIS),990,24
202111,니다(NIDA),996,20
202110,미리내(MIRINAE),985,23
202109,루핏(LUPIT),980,23
202108,네파탁(NEPARTAK),992,23
202107,츰파카(CEMPAKA),985,27
202106,인파(IN-FA),955,40
202105,참피(CHAMPI),985,27
202104,고구마(KOGUMA),996,18
202103,초이완(CHOI-WAN),996,20
202102,수리개(SURIGAE),900,59
202101,두쥐안(DUJUAN),994,21
202023,크로반(KROVANH),1000,18
202022,밤꼬(VAMCO),950,43
202021,아타우(ETAU),994,21
202020,앗사니(ATSANI),990,24
202019,고니(GONI),910,56
202018,몰라베(MOLAVE),955,40
202017,사우델(SAUDEL),970,35
202016,낭카(NANGKA),992,23
202015,린파(LINFA),998,19
202014,찬홈(CHAN-HOM),970,35
202013,구지라(KUJIRA),980,29
202012,돌핀(DOLPHIN),985,27
202011,노을(NOUL),990,24
202010,하이선(HAISHEN),915,55
202009,마이삭(MAYSAK),935,49
202008,바비(BAVI),945,45
202007,히고스(HIGOS),990,24
202006,메칼라(MEKKHALA),994,21
202005,장미(JANGMI),998,19
202004,하구핏(HAGUPIT),980,29
202003,실라코(SINLAKU),992,19
202002,누리(NURI),996,20
202001,봉퐁(VONGFONG),955,40
201929,판폰(PHANFONE),970,35
201927,풍웡(FUNG-WONG),990,24
201926,갈매기(KALMAEGI),980,29
201925,펑선(FENGSHEN),965,37
201924,나크리(NAKRI),975,32
201923,할롱(HALONG),910,56
201922,마트모(MATMO),992,23
201921,부알로이(BUALOI),930,50
201920,너구리(NEOGURI),970,37
201919,하기비스(HAGIBIS),915,55
201918,미탁(MITAG),965,37
201917,타파(TAPAH),965,37
201916,페이파(PEIPAH),1000,18
201915,파사이(FAXAI),960,39
201914,가지키(KAJIKI),996,18
201913,링링(LINGLING),940,47
201912,버들(PODUL),990,24
201911,바이루(BAILU),985,27
201910,크로사(KROSA),950,43
201909,레끼마(LEKIMA),930,50
201908,프란시스코(FRANCISCO),975,32
201907,위파(WIPHA),985,22
201906,나리(NARI),998,18
201905,다나스(DANAS),990,24
201904,문(MUN),992,18
201903,스팟(SEPAT),996,19
201902,우딥(WUTIP),930,50
201901,파북(PABUK),992,23
201829,우사기(USAGI),980,29
201828,마니(MAN-YI),955,40
201827,도라지(TORAJI),1004,18
201826,위투(YUTU),905,58
201825,콩레이(KONG-REY),920,53
201824,짜미(TRAMI),920,53
201823,바리자트(BARIJAT),996,20
201822,망쿳(MANGKHUT),910,56
201821,제비(JEBI),910,56
201820,시마론(CIMARON),950,43
201819,솔릭(SOULIK),950,43
201818,룸비아(RUMBIA),990,20
201817,헥터(HECTOR),996,20
201816,버빙카(BEBINCA),990,22
201815,리피(LEEPI),994,21
201814,야기(YAGI),990,21
201813,산산(SHANSHAN),965,37
201812,종다리(JONGDARI),960,39
201811,우쿵(WUKONG),985,27
201810,암필(AMPIL),985,27
201809,손띤(SON-TINH),994,21
201808,마리아(MARIA),930,50
201807,쁘라삐룬(PRAPIROON),975,32
201806,개미(GAEMI),992,18
201805,말릭시(MALIKSI),975,32
201804,에위니아(EWINIAR),996,20
201803,즐라왓(JELAWAT),950,43
201802,산바(SANBA),998,19
201801,볼라벤(BOLAVEN),1000,18
201727,덴빈(TEMBIN),970,35
201726,카이탁(KAI-TAK),996,20
201725,기러기(KIROGI),994,21
201724,하이쿠이(HAIKUI),990,24
201723,담레이(DAMREY),965,37
201722,사올라(SAOLA),970,35
201721,란(LAN),925,51
201720,카눈(KHANUN),955,40
201719,독수리(DOKSURI),960,39
201718,탈림(TALIM),940,47
201717,구촐(GUCHOL),1000,18
201716,마와르(MAWAR),990,24
201715,상우(SANVU),960,39
201714,파카르(PAKHAR),985,27
201713,하토(HATO),965,37
201712,바냔(BANYAN),970,35
201711,날개(NALGAE),992,23
201710,하이탕(HAITANG),990,24
201709,네삿(NESAT),960,39
201708,선까(SONCA),998,19
201707,로키(ROKE),1000,18
201706,꿀랍(KULAP),1000,18
201705,노루(NORU),935,49
201704,탈라스(TALAS),990,24
201703,난마돌(NANMADOL),985,27
201702,므르복(MERBOK),994,21
201701,무이파(MUIFA),1000,18
201626,녹텐(NOCK-TEN),920,53
201625,도카게(TOKAGE),985,27
201624,망온(MA-ON),998,19
201623,메아리(MEARI),955,40
201622,하이마(HAIMA),910,56
201621,사리카(SARIKA),940,47
201620,송다(SONGDA),935,49
201619,에어리(AERE),980,29
201618,차바(CHABA),930,50
201617,메기(MEGI),945,45
201616,말라카스(MALAKAS),935,49
201615,라이(RAI),996,20
201614,므란티(MERANTI),895,61
201613,말로(MALOU),998,19
201612,남테운(NAMTHEUN),960,39
201611,곤파스(KOMPASU),994,21
201610,라이언록(LIONROCK),940,47
201609,민들레(MINDULLE),985,27
201608,뎬무(DIANMU),980,24
201607,찬투(CHANTHU),985,27
201606,꼰선(CONSON),985,27
201605,오마이스(OMAIS),980,29
201604,니다(NIDA),965,37
